id,created,amount,currency,local_amount,local_currency,category,emoji,description,address,notes,receipt
tx_00009LHEMr5SnWJXi7crmD,2017-06-09 21:17:42 +0000,-5.99,GBP,-5.99,GBP,eating_out,🐔,Chicken Cottage,"82 North End Road, London W14 9ES",
tx_00009LIcA8CET105xjLcUT,2017-06-10 13:19:02 +0000,-6.45,GBP,-6.45,GBP,eating_out,🍳,Leon,"Hammersmith Broadway, London W6 9YD",
tx_00009LIca5IZrZ7EVLguGX,2017-06-10 13:23:44 +0000,-8.66,GBP,-8.66,GBP,general,💊,Boots,"Somewhere in Hotspur Way, Newcastle Upon Tyne NE1 7XE",
tx_00009LJ4qspiGCqcopsErp,2017-06-10 18:40:30 +0000,-2.20,GBP,-2.20,GBP,groceries,🍏,Sainsbury's,"179-183 Fulham Palace Rd., Fulham W6 8QZ",
tx_00009LJCvORDUlICINBy9B,2017-06-10 20:10:58 +0000,-10.85,GBP,-10.85,GBP,groceries,🍏,Sainsbury's,"179-183 Fulham Palace Rd., Fulham W6 8QZ",
tx_00009LKUMd98oIWFDP8m7V,2017-06-11 11:01:05 +0000,-9.20,GBP,-9.20,GBP,eating_out,🍣,Wasabi,"43 King Street, London W6 9HW",
tx_00009LKWJqCrzqGkzWhKHB,2017-06-11 11:22:59 +0000,-4.75,GBP,-4.75,GBP,groceries,🍏,Marks & Spencer,"27 King St, Hammersmith W6 0AG",
tx_00009LMNeO9QzSC5S8qfFR,2017-06-12 08:55:16 +0000,-3.85,GBP,-3.85,GBP,eating_out,☕️,Pret A Manger,"15 Old Brompton Road, London SW7 2NB",
tx_00009LMaLNuex13vik4lsn,2017-06-12 11:17:30 +0000,-1.63,GBP,-1.63,GBP,groceries,☕️,College Cafe,"Imperial College Rd, London SW7 2AZ",
tx_00009LNCINdpIgzYV1DECP,2017-06-12 18:22:45 +0000,-0.20,GBP,-0.20,GBP,groceries,🍏,Tesco,"93 Gloucester Road, London SW7 4SS",
tx_00009LNChqZqr2OW96bxrd,2017-06-12 18:27:21 +0000,-2.40,GBP,-2.40,GBP,transport,🚅,Transport for London,Online transaction,
tx_00009LNHtMw5Nyc7ScKC3N,2017-06-12 19:25:28 +0000,100.00,GBP,100.00,GBP,monzo,,,,
tx_00009LNIvlk6E4k62FIQb3,2017-06-12 19:37:06 +0000,-5.09,GBP,-5.09,GBP,eating_out,🍔,McDonald's,"Broadway Shopping Centre, Hammersmith W6 9YD",
tx_00009LNRyrQmQrZ11qwHuT,2017-06-12 21:18:30 +0000,-1.50,GBP,-1.50,GBP,groceries,🍏,Tesco,"168-188 Fulham Palace Road, London W6 9PA",
tx_00009LOUMpjCoDo0rvwhsX,2017-06-13 09:19:57 +0000,-1.39,GBP,-1.39,GBP,groceries,☕️,College Cafe,"Imperial College Rd, London SW7 2AZ",
tx_00009LOhmIWuA3fUq5fIHJ,2017-06-13 11:50:14 +0000,-1.63,GBP,-1.63,GBP,groceries,☕️,College Cafe,"Imperial College Rd, London SW7 2AZ",
tx_00009LPBmyDABfxUjlfSld,2017-06-13 17:26:30 +0000,-5.25,GBP,-5.25,GBP,eating_out,🍳,Leon,"Thurloe Street, South Kensing SW7 2LT",
tx_00009LPQsljqyLT5KpCGmH,2017-06-13 20:15:37 +0000,-5.89,GBP,-5.89,GBP,groceries,🍏,Tesco,"168-188 Fulham Palace Road, London W6 9PA",
tx_00009LQzZxint0ovDPY3SD,2017-06-14 11:13:57 +0000,-4.80,GBP,-4.80,GBP,transport,🚅,Transport for London,"65 Broadway, London SW1H 0BD","Travel charge for Tuesday, 13 Jun"
tx_00009LQoXUUeUDB4UTY2AD,2017-06-14 12:15:24 +0000,-3.98,GBP,-3.98,GBP,groceries,☕️,College Cafe,"Imperial College Rd, London SW7 2AZ",
tx_00009LQqixlkBF1JiX1fEn,2017-06-14 12:39:53 +0000,-1.63,GBP,-1.63,GBP,groceries,☕️,College Cafe,"Imperial College Rd, London SW7 2AZ",
tx_00009LRWhAOmRsmu9T5ydN,2017-06-14 20:30:11 +0000,-1.40,GBP,-1.40,GBP,groceries,🍏,Tesco,"168-188 Fulham Palace Road, London W6 9PA",
tx_00009LSpg7evF37NeVoyQb,2017-06-15 11:37:36 +0000,-5.30,GBP,-5.30,GBP,groceries,🍏,Sainsbury's,"179-183 Fulham Palace Rd., Fulham W6 8QZ",
tx_00009LSwAmmZVfrCVBXAVF,2017-06-15 11:59:38 +0000,-4.80,GBP,-4.80,GBP,transport,🚅,Transport for London,"65 Broadway, London SW1H 0BD","Travel charge for Wednesday, 14 Jun"
tx_00009LUsUFbEa7TDsWB1cX,2017-06-16 11:18:29 +0000,-5.50,GBP,-5.50,GBP,groceries,☕️,College Cafe,"Imperial College Rd, London SW7 2AZ",
tx_00009LUtaazA59A3tgxSev,2017-06-16 11:30:50 +0000,-1.63,GBP,-1.63,GBP,groceries,☕️,College Cafe,"Imperial College Rd, London SW7 2AZ",
tx_00009LVA5YJHg55tqL9ZqL,2017-06-16 14:35:43 +0000,-1.12,GBP,-1.12,GBP,groceries,☕️,College Cafe,"Imperial College Rd, London SW7 2AZ",
tx_00009LVSElJmTwaj4ZnT0b,2017-06-16 17:59:04 +0000,-6.50,GBP,-6.50,GBP,eating_out,🌯,Barburrito,"Broadway, London W6 9YD",
tx_00009LVs75JeqMUYTxrx4r,2017-06-16 22:49:01 +0000,-1.50,GBP,-1.50,GBP,groceries,🍏,Sainsbury's,"179-183 Fulham Palace Rd., Fulham W6 8QZ",
tx_00009LW8EEJtMfeGo0HGhV,2017-06-17 01:49:35 +0000,-6.60,GBP,-6.60,GBP,transport,🚅,Transport for London,Online transaction,"Travel charge for Friday, 16 Jun"
tx_00009LX6TcNOCU2BEw6AxV,2017-06-17 13:04:40 +0000,-3.36,GBP,-3.36,GBP,groceries,☕️,College Cafe,"Imperial College Rd, London SW7 2AZ",
tx_00009LXfKp01OZpIBAi3Cj,2017-06-17 19:35:15 +0000,-4.04,GBP,-4.04,GBP,groceries,🍏,Tesco,"168-188 Fulham Palace Road, London W6 9PA",
tx_00009LYvxOhetGrc6tTtI1,2017-06-18 10:16:13 +0000,-6.79,GBP,-6.79,GBP,groceries,🍏,Tesco,"168-188 Fulham Palace Road, London W6 9PA",
